COD_AUTOR,HOMONIMO,FORMATO,NOME,RESUMOS
1889,,Semenoff-Segundo A,Alex Semenoff-Segundo,"AO0160, PI0214, PI0354, PI0493, PI0654, PI0702, PI0707, PI0788, PI0813, PN0811, PN1275, PN1316, PN1321, PN1737"
17116,,Fok AS,Alex Sui-Lun Fok,PN1847
22940,,Moresca AHK,Alexa Helena Köhler Moresca,"PI0757, PN0674"
27978,,Balluta A,alexandra balluta,AO0155
29121,H2,Alves AC,Alexandra C. Alves,AO0208
22642,,Senegaglia AC,Alexandra Cristina Senegaglia,PN0312
29145,,Paula AM,Alexandra Mara de Paula,PN0492
28748,,Alonso AA,ALEXANDRE ABDALLA ALONSO,PN1050
13899,H1,Ribeiro AA,Alexandre Antonio Ribeiro,AO0017
3975,,Zaia AA,Alexandre Augusto Zaia,"AO0057, AO0063, AO0077, PI0180, PN0029, PN0034, PN0058, PN0345, PN0362, PN1226, PN1248, PN1269, PN1286, PN1582, PN1604"
17527,,Elias AB,Alexandre Barbosa Elias,PN0310
635,,Lemos AB,Alexandre Barboza de Lemos,"AO0133, PI0174, PN0310, PN0615"
16392,H2,Machado AC,Alexandre Coelho Machado,"PI0427, PI0883, PI0887, PN0762, PN0784, PN1098, PN1118"
15380,,Conte A,alexandre conte,PN1483
24730,,Ehrhardt A,Alexandre Ehrhardt,"PI0230, PI0531, PI0645"
497,,Silva AER,Alexandre Emidio Ribeiro Silva,"PO007, PI0252"
19736,,Drummond AF,Alexandre Fortes Drummond,PI0304
29299,,Cesar AF,Alexandre Francisco Cesar,PN0219
28195,,Oliveira AG,Alexandre Gomes de Oliveira,PN0422
28480,,Simplício AHM,Alexandre Henrique de Melo Simplício,PN1235
465,,Susin AH,Alexandre Henrique Susin,"PI0121, PN0485, PN0741, PN0758"
29472,,Marques AJ,ALEXANDRE JUNQUEIRA MARQUES,PN1441
27952,,Terreri AL,Alexandre Laguna Terreri,PN0211
5385,,Borges ALS,Alexandre Luiz Souto Borges,"PI0272, PI0628, PI0774, PN0170, PN0449, PN0452, PN0500, PN0506, PN0765, PN0787, PN0888, PN1052, PN1100"
13882,,Resende AM,Alexandre Marques De Resende,PN0733
22068,,Villela AM,Alexandre Mascarenhas Villela,PN0052
3728,,Borba AM,Alexandre Meireles Borba,"AO0025, AO0026, AO0160, PI0226, PI0375, PI0457, PI0538, PI0545, PI0588, PI0611, PI0843, PN0811, PN1275"
28370,,Fernandes AM,Alexandre Moreira Fernandes,HA001
7921,,Moro A,Alexandre Moro,"PN0674, PN0703, PN0706, PN0716, PN1368"
23661,,Carvalho APL,Alexandre Pinheiro Lima de Carvalho,PN1588
13433,,Maluf AP,Alexandre Pozo Maluf,PN0896
21135,,Deitos AR,Alexandre Raphael Deitos,"PN1217, PN1218"
1993,,Vieira AR,Alexandre Rezende Vieira,"AO0019, PN1342"
87,,Espírito-Santo AR,Alexandre Ribeiro do Espírito-Santo,"PN0942, PN0949"
7043,,Heck AR,Alexandre Roberto Heck,PN0025
4212,,Freire AR,Alexandre Rodrigues Freire,"PI0010, PI0311, PN0002, PN0012, PN0318, PN0319, PN0322, PN0324, PN0631, PN0633, PN0940, PN0950"
7831,,Masotti AS,Alexandre Severo Masotti,"PI0264, PI0586"
4340,,Martin AS,Alexandre Sigrist De Martin,"PN0019, PN0022, PN0042, PN0043, PN0052, PN0156, PN0352, PN1292, PN1574"
5022,,Motta ATS,Alexandre Trindade Simões da Motta,PN1404
24939,,Santos-Neto AP,Alexandrino Pereira dos Santos-Neto,"PI0486, PI0804, PN1547"
17591,,Guedes AF,ALEXANDRO DE FREITAS GUEDES,PN1788
24354,,Galvão AM,Alexia da Mata Galvão,"FC016, PI0883, PN0784"
11362,,Iwamoto AS,Alexsandra Shizue Iwamoto,"PI0890, PN1658, PN1688, PN1702"
25736,,Gala-García A,Alfonso Gala-García,AO0179
28295,,Penkuhn AH,Alfonso Herbert Penkuhn,PN0763
2470,,Sánchez-Ayala A,Alfonso Sánchez-Ayala,"PN0225, PN0829, PN0845, PN0858"
28818,,Icochea AEL,Alfredo Esteban Llerena Icochea,PN0441
5841,,Fernandes-Neto AJ,Alfredo Júlio Fernandes-Neto,"HA014, PI0615, PN1118, PN1148, PN1151, PN1474"
6062,,Mesquita AMM,Alfredo Mikail Melo Mesquita,"PI0470, PN0224, PN0766, PN0779, PN0836"
8926,,Goes AM,Alfredo Miranda de goes,PN1183
29104,,Bezerra AS,Aliane da Silva Bezerra,PI0556
27443,,Zanin AA,Alice Aquino Zanin,"PI0709, PN0920"
28921,,Gomes AB,Alice Buachak Gomes,PN0476
2163,,Penelas AG,Alice Gonçalves Penelas,PI0875
14813,,Silva AHA,Alice Helena de Araújo Silva,PI0112
21817,,Melo ARF,Alice Rodrigues Feres de Melo,PI0591
18062,,Spitz A,Alice Spitz,PI0606
13598,,Xavier AFC,Alidianne Fábia Cabral Xavier,PN1496
17086,,Cunha AAL,Aline Almeida Lopes da Cunha,PI0275
18158,,Santana AA,Aline Aparecida de Santana,"PI0349, PI0421"
20855,,Sampaio AA,Aline Araújo Sampaio,"AO0090, PN0398"
14492,,Bicalho AA,Aline Arêdes Bicalho,"PN0160, PN0457, PN0762, PN1062"
15580,,Miranda AB,Aline Baia Miranda,PN1535
24563,,Machado AB,Aline Bezerra Machado,"AO0042, AO0048, PN1652"
19224,,Martins AB,Aline Blaya Martins,AO0036
29713,,Anselmo AC,Aline Cardoso Anselmo,PN1623
5429,,Batista AC,Aline Carvalho Batista,"AO0013, AO0123, PI0065, PI0067, PI0068, PI0217, PI0367, PI0449, PI0520, PN0242, PN0253, PN0272, PN0546, PN1746, PN1759"
21342,,Girotto AC,Aline Carvalho Girotto,PN0420
18855,,Borges AC,Aline Chiodi Borges,"PI0658, PN0096, JL001"
23021,,Kapuchczinski AC,Aline Cristina Kapuchczinski,PN0764
21520,,Gomes AC,Aline Cristine Gomes,PN0034
