SIGLA,DIA,HORA,LOCAL
COL007,9/5/2015,13:00 - 16:30 h,Sala Manacá
COL008,9/5/2015,13:00 - 16:30 h,Sala Manacá
COL009,9/5/2015,13:00 - 16:30 h,Sala Manacá
COL010,9/5/2015,13:00 - 16:30 h,Sala Manacá
COL011,9/6/2015,8:00 - 11:30 h,Sala Manacá
COL012,9/6/2015,8:00 - 11:30 h,Sala Manacá
COL013,9/6/2015,8:00 - 11:30 h,Sala Manacá
COL014,9/6/2015,8:00 - 11:30 h,Sala Manacá
COL015,9/6/2015,8:00 - 11:30 h,Sala Manacá
FC001,9/4/2015,8:00 - 11:30 h,Sala Cerejeira
FC002,9/4/2015,8:00 - 11:30 h,Sala Cerejeira
FC003,9/4/2015,8:00 - 11:30 h,Sala Cerejeira
FC004,9/4/2015,8:00 - 11:30 h,Sala Cerejeira
FC005,9/4/2015,8:00 - 11:30 h,Sala Cerejeira
FC006,9/4/2015,13:00 - 16:30 h,Sala Cerejeira
FC007,9/4/2015,13:00 - 16:30 h,Sala Cerejeira
FC008,9/4/2015,13:00 - 16:30 h,Sala Cerejeira
FC009,9/4/2015,13:00 - 16:30 h,Sala Cerejeira
FC010,9/4/2015,13:00 - 16:30 h,Sala Cerejeira
FC011,9/4/2015,13:00 - 16:30 h,Sala Cerejeira
FC012,9/5/2015,8:00 - 11:30 h,Sala Cerejeira
FC013,9/5/2015,8:00 - 11:30 h,Sala Cerejeira
FC014,9/5/2015,8:00 - 11:30 h,Sala Cerejeira
FC015,9/5/2015,8:00 - 11:30 h,Sala Cerejeira
FC016,9/5/2015,8:00 - 11:30 h,Sala Cerejeira
FC017,9/5/2015,13:00 - 16:30 h,Sala Cerejeira
FC018,9/5/2015,13:00 - 16:30 h,Sala Cerejeira
FC019,9/5/2015,13:00 - 16:30 h,Sala Cerejeira
FC020,9/5/2015,13:00 - 16:30 h,Sala Cerejeira
FC021,9/5/2015,13:00 - 16:30 h,Sala Cerejeira
FC022,9/5/2015,13:00 - 16:30 h,Sala Cerejeira
FC023,9/6/2015,8:00 - 11:30 h,Sala Cerejeira
FC024,9/6/2015,8:00 - 11:30 h,Sala Cerejeira
FC025,9/6/2015,8:00 - 11:30 h,Sala Cerejeira
FC026,9/6/2015,8:00 - 11:30 h,Sala Cerejeira
FC027,9/6/2015,8:00 - 11:30 h,Sala Cerejeira
HA001,9/5/2015,8:00 - 11:30 h,Sala Manacá
HA002,9/5/2015,8:00 - 11:30 h,Sala Manacá
HA003,9/5/2015,8:00 - 11:30 h,Sala Manacá
HA004,9/5/2015,8:00 - 11:30 h,Sala Manacá
HA005,9/5/2015,8:00 - 11:30 h,Sala Manacá
HA006,9/5/2015,8:00 - 11:30 h,Sala Manacá
HA007,9/5/2015,8:00 - 11:30 h,Sala Manacá
HA008,9/5/2015,8:00 - 11:30 h,Sala Manacá
HA009,9/5/2015,8:00 - 11:30 h,Sala Manacá
HA010,9/5/2015,8:00 - 11:30 h,Sala Manacá
HA011,9/5/2015,8:00 - 11:30 h,Sala Manacá
HA012,9/5/2015,8:00 - 11:30 h,Sala Manacá
HA013,9/5/2015,13:30 - 17:00 h,Sala Manacá
HA014,9/5/2015,13:30 - 17:00 h,Sala Manacá
HA015,9/5/2015,13:30 - 17:00 h,Sala Manacá
HA016,9/5/2015,13:30 - 17:00 h,Sala Manacá
HA017,9/5/2015,13:30 - 17:00 h,Sala Manacá
HA018,9/5/2015,13:30 - 17:00 h,Sala Manacá
HA019,9/5/2015,13:30 - 17:00 h,Sala Manacá
HA020,9/5/2015,13:30 - 17:00 h,Sala Manacá
HA021,9/5/2015,13:30 - 17:00 h,Sala Manacá
HA022,9/5/2015,13:30 - 17:00 h,Sala Manacá
HA023,9/5/2015,13:30 - 17:00 h,Sala Manacá
HA024,9/5/2015,13:30 - 17:00 h,Sala Manacá
JL001,9/4/2015,13:30 - 16:30 h,Sala Manacá
JL002,9/4/2015,13:30 - 16:30 h,Sala Manacá
